account_id,account_uuid,org_id,created_timestamp,last_activity_timestamp,account_status,status_change_date,subscription_tier,mrr,billing_cycle,payment_method,auto_renew_enabled,seats_purchased,seats_active,contract_end_date,account_health_score,risk_flag,region,account_manager_id,integration_count,api_calls_enabled,sso_enabled,white_label_enabled,data_residency_region,provisioning_method,internal_notes_count
ACC000000,,ORG00697,2022-08-17,2024-12-21,active,2023-12-17,professional,182.37200007812504,annual,credit_card,True,35,8,2024-08-16,94.84979931638811,False,EU,AM34,4,True,False,True,EU,sales_led,0
ACC000001,,ORG00246,2022-02-21,2024-12-22,active,2023-01-02,professional,200.9418975082812,monthly,invoice,True,33,9,2024-02-21,86.32427204728376,False,LATAM,AM34,3,False,False,False,LATAM,self_serve,0
ACC000002,,ORG01163,2023-07-18,2024-12-10,active,2024-07-29,professional,195.3912294758355,monthly,credit_card,True,5,3,2024-07-17,83.53464013651003,False,LATAM,AM26,5,False,False,False,LATAM,self_serve,2
ACC000003,,ORG00822,2023-05-17,2024-12-13,active,2024-03-28,professional,188.54472034629526,monthly,invoice,True,47,29,2025-05-16,81.56565539465234,False,APAC,AM36,6,False,False,False,APAC,sales_led,1
ACC000004,,ORG03232,2023-04-03,2024-12-25,active,2024-03-21,professional,160.07934827564156,monthly,credit_card,True,24,8,2024-04-02,80.06906438688478,False,APAC,AM4,2,False,False,False,APAC,self_serve,2
ACC000005,,ORG02852,2022-10-13,2024-12-10,active,2023-02-13,professional,185.21105680192042,quarterly,invoice,False,46,28,2023-10-13,66.803650513545,False,APAC,AM43,4,False,True,False,APAC,sales_led,3
ACC000006,,ORG02531,2022-07-29,2024-12-01,active,2023-08-24,free,0.0,monthly,credit_card,False,9,1,2024-07-28,79.71186799489548,False,NA,AM20,2,True,False,False,NA,self_serve,3
ACC000007,,ORG01111,2022-06-28,2024-12-23,active,2022-09-11,professional,190.33197973445075,quarterly,paypal,True,7,5,2024-06-27,91.08552226190207,False,EU,AM7,3,False,False,False,EU,self_serve,3
ACC000008,,ORG00217,2024-05-14,2024-12-19,active,2025-08-26,starter,58.59606441982523,monthly,invoice,True,6,1,2026-05-14,81.87165423194504,False,LATAM,AM33,0,False,False,False,LATAM,self_serve,2
ACC000009,,ORG01904,2022-03-07,2024-12-22,active,2022-12-14,starter,41.731098312992444,annual,invoice,True,9,6,2023-03-07,77.10718511379085,False,APAC,AM25,5,False,True,False,APAC,partner,1
ACC000010,,ORG02681,2022-03-03,2024-10-22,churned,2024-12-09,professional,192.50569096258872,annual,credit_card,True,11,2,2023-03-03,36.455634932550375,False,LATAM,AM37,0,True,False,False,LATAM,self_serve,4
ACC000011,,ORG00034,2022-07-11,2024-12-10,active,2023-09-20,enterprise,1096.1598446389862,monthly,credit_card,True,67,42,2024-07-10,60.8150529334559,False,APAC,AM15,5,False,False,False,APAC,partner,1
ACC000012,,ORG00272,2023-03-24,2024-11-03,active,2024-06-27,professional,190.1638346673973,monthly,credit_card,True,45,40,2025-03-23,65.06872764135308,False,LATAM,AM3,1,True,False,False,LATAM,sales_led,0
ACC000013,,ORG01591,2023-04-22,2024-12-06,active,2024-04-08,starter,56.91031508272671,monthly,credit_card,True,7,3,2024-04-21,95.82239818165634,False,APAC,AM15,4,True,False,False,APAC,self_serve,4
ACC000014,a7556c38-061b-42ef-956a-b959053f4b48,ORG02704,2024-10-31,2024-12-23,active,2025-07-10,starter,43.247001961966404,monthly,credit_card,False,6,3,2026-10-31,64.76479156328085,False,EU,AM43,3,False,False,False,EU,sales_led,0
ACC000015,,ORG01111,2022-02-24,2024-12-15,active,2023-03-23,starter,56.260801726812645,monthly,credit_card,True,2,1,2024-02-24,82.26276548944459,False,EU,AM11,7,False,False,False,EU,sales_led,2
ACC000016,e2605fa9-6c21-426a-a617-761f167c0716,ORG02715,2023-02-12,2024-12-04,active,2024-04-07,professional,183.85667123200875,monthly,credit_card,True,16,12,2024-02-12,96.77842514673547,False,EU,AM25,3,False,False,False,EU,self_serve,2
ACC000017,f995626e-3a04-4d5f-a8bd-a288b2ed620b,ORG03490,2024-05-09,2024-12-22,active,2024-10-20,professional,224.30452981360153,monthly,credit_card,True,38,28,2026-05-09,87.40536784373454,False,EU,AM20,3,False,False,False,EU,self_serve,2
ACC000018,,ORG02703,2023-03-28,2024-12-29,active,2024-01-25,enterprise,1064.8511411556758,monthly,credit_card,True,160,74,2024-03-27,77.63490329144311,False,APAC,AM42,4,False,False,False,APAC,self_serve,1
ACC000019,,ORG01475,2024-07-08,2024-12-21,active,2025-10-21,free,0.0,monthly,credit_card,True,9,3,2025-07-08,63.246888367817135,False,APAC,AM22,2,True,False,False,APAC,sales_led,2
ACC000020,,ORG00441,2023-07-24,2024-12-14,active,2024-01-02,enterprise,1029.0065170056077,monthly,credit_card,True,107,89,2024-07-23,68.16770869701146,False,NA,AM26,2,True,False,False,NA,self_serve,1
ACC000021,,ORG00078,2022-01-14,2024-12-24,active,2023-03-19,starter,45.282149221858695,annual,credit_card,True,2,1,2023-01-14,88.21556361029681,False,EU,AM17,2,False,False,False,EU,sales_led,4
ACC000022,,ORG01198,2022-11-23,2024-12-21,active,2023-07-17,professional,175.35663810668152,annual,credit_card,False,23,12,2024-11-22,87.68499557480364,False,LATAM,AM40,0,False,False,False,LATAM,self_serve,1
ACC000023,ddd0dbf3-e7d3-4a31-80de-fc45db135fbb,ORG02659,2024-05-15,2024-12-17,active,2025-02-13,professional,216.25505496645673,annual,credit_card,True,41,22,2025-05-15,83.40958292872786,False,EU,AM28,3,True,True,False,EU,self_serve,5
ACC000024,,ORG01583,2023-11-28,2024-12-24,active,2024-04-08,free,0.0,monthly,credit_card,True,3,1,2024-11-27,80.89439566702002,False,LATAM,AM30,1,True,True,False,LATAM,sales_led,6
ACC000025,d297e944-5f03-45c8-acb5-678dc4628519,ORG00946,2023-07-24,2024-10-24,active,2024-02-05,professional,175.25553722226985,monthly,invoice,True,27,17,2024-07-23,71.59523131009945,False,EU,AM20,0,False,False,False,EU,partner,2
ACC000026,,ORG01559,2022-11-15,2024-12-21,active,2023-07-29,starter,58.625268217897144,monthly,credit_card,False,8,2,2024-11-14,85.68723680797001,False,APAC,AM7,3,False,True,False,APAC,self_serve,1
ACC000027,,ORG02082,2023-03-17,2024-12-08,active,2024-05-05,starter,47.93633898238698,monthly,invoice,False,1,1,2025-03-16,97.89004097028533,False,NA,AM38,6,False,True,False,NA,sales_led,2
ACC000028,,ORG02906,2023-11-21,2024-10-09,active,2024-05-03,enterprise,1128.703216722124,monthly,invoice,True,31,21,2024-11-20,86.20201630286627,False,APAC,AM40,2,True,False,False,APAC,self_serve,5
ACC000029,,ORG00407,2022-07-29,2024-09-28,churned,2024-12-26,professional,207.34594851942538,monthly,credit_card,True,49,33,2024-07-28,13.289572838614824,False,EU,AM6,0,False,False,False,EU,self_serve,3
ACC000030,,ORG01292,2022-07-09,2024-12-16,active,2022-10-21,professional,178.84847381307318,monthly,credit_card,True,30,17,2024-07-08,88.63685723989536,False,EU,AM26,1,False,False,False,EU,sales_led,2
ACC000031,,ORG01985,2024-02-18,2024-12-14,active,2024-07-04,free,0.0,monthly,credit_card,False,3,1,2025-02-17,90.07891181180916,False,APAC,AM3,3,True,False,False,APAC,self_serve,2
ACC000032,,ORG02445,2022-07-18,2024-10-17,churned,2024-12-24,starter,50.35688982928613,monthly,credit_card,False,5,4,2024-07-17,12.740235211325466,False,EU,AM21,0,False,True,False,EU,self_serve,3
ACC000033,68eb4f3c-6058-4a61-9a7f-3820a64c3f65,ORG02177,2024-01-06,2024-12-28,active,2025-01-23,professional,198.28030671054339,quarterly,credit_card,False,46,26,2025-01-05,63.88672121868147,False,EU,AM46,1,True,True,False,EU,self_serve,2
ACC000034,,ORG00360,2023-12-06,2024-12-10,active,2024-03-23,starter,48.26883089611085,annual,credit_card,True,9,2,2025-12-05,72.68747122254146,False,NA,AM44,5,False,False,False,NA,self_serve,3
ACC000035,,ORG00763,2023-06-26,2024-12-13,active,2023-10-06,starter,39.96606188752426,monthly,credit_card,True,2,1,2024-06-25,75.04588520444571,False,NA,AM49,1,False,False,False,NA,sales_led,3
ACC000036,,ORG00814,2022-03-30,2024-12-19,active,2022-07-20,free,0.0,monthly,credit_card,True,4,2,2023-03-30,85.50808361296981,False,LATAM,AM15,3,False,False,False,LATAM,sales_led,2
ACC000037,,ORG02050,2024-07-29,2024-10-06,churned,2024-12-01,starter,51.867463100459304,monthly,credit_card,True,6,2,2025-07-29,25.888281634057204,False,NA,AM39,0,True,False,False,NA,partner,1
ACC000038,,ORG01875,2022-09-13,2024-12-11,active,2023-10-12,free,0.0,annual,credit_card,False,8,3,2023-09-13,72.72807425824584,False,NA,AM44,3,False,False,False,NA,sales_led,1
ACC000039,198cfe1f-5f81-4e05-bb81-91a8fe562232,ORG02296,2024-02-15,2024-12-16,active,2024-12-01,professional,186.80383447814881,monthly,credit_card,True,20,8,2025-02-14,99.765698042123,False,EU,AM2,1,True,False,False,EU,self_serve,1
ACC000040,,ORG02918,2022-06-11,2024-12-21,active,2022-07-19,free,0.0,annual,paypal,True,7,3,2023-06-11,83.70508926773675,False,EU,AM25,0,False,False,True,EU,sales_led,3
ACC000041,,ORG00088,2023-08-24,2024-12-18,active,2024-08-12,free,0.0,quarterly,credit_card,True,8,7,2025-08-23,62.5473496742613,False,APAC,AM17,4,False,False,False,APAC,self_serve,2
ACC000042,25d5b3f8-992f-4f7a-a9c0-98b79df5f7bb,ORG00162,2024-01-11,2024-12-22,churned,2024-12-27,professional,190.330793279387,annual,invoice,True,23,7,2025-01-10,8.68986826049024,True,EU,AM37,1,False,False,False,EU,self_serve,1
ACC000043,e16fb4aa-0c2f-4b15-b630-4695ee093b99,ORG01013,2023-01-29,2024-12-23,active,2024-03-20,free,0.0,annual,credit_card,False,7,4,2025-01-28,89.3925342436245,False,EU,AM3,3,False,False,False,EU,sales_led,3
ACC000044,,ORG02168,2022-05-23,2024-12-07,active,2023-04-29,professional,226.84757370606104,monthly,credit_card,True,39,19,2023-05-23,78.50577067291498,False,EU,AM37,3,True,True,False,EU,self_serve,0
ACC000045,,ORG01248,2022-04-04,2024-12-07,churned,2024-12-21,free,0.0,monthly,invoice,True,6,3,2023-04-04,18.398285265483246,True,EU,AM47,0,False,False,False,EU,self_serve,2
ACC000046,,ORG01366,2023-04-12,2024-12-13,active,2023-09-18,free,0.0,annual,credit_card,False,8,6,2024-04-11,89.77166806461008,False,NA,AM46,2,False,True,False,NA,self_serve,2
ACC000047,,ORG02006,2023-08-16,2024-11-01,active,2023-12-02,starter,51.30763572135257,monthly,credit_card,True,7,5,2025-08-15,91.73590328615867,False,LATAM,AM49,4,False,True,False,LATAM,self_serve,2
ACC000048,,ORG01611,2022-06-13,2024-12-11,active,2023-01-06,starter,47.66870163510316,annual,credit_card,True,9,4,2024-06-12,68.60078119769797,False,NA,AM32,3,False,False,True,NA,self_serve,0
ACC000049,67bae4c0-a4ed-4685-a889-16c831e48e12,ORG03049,2023-04-22,2024-12-20,active,2024-03-03,starter,46.73943393716461,monthly,paypal,False,3,1,2024-04-21,73.8646659315655,False,EU,AM42,7,False,True,False,EU,self_serve,0
ACC000050,,ORG00643,2022-07-26,2024-12-12,active,2023-08-03,enterprise,1062.5683829255727,annual,invoice,True,34,18,2024-07-25,87.21995218291957,False,EU,AM1,3,True,True,False,EU,self_serve,3
ACC000051,d76dcabc-fc46-46d1-b0ad-5624f730d534,ORG00075,2024-02-18,2024-12-16,active,2025-06-01,professional,214.80235402928128,monthly,paypal,False,43,24,2025-02-17,93.72845040447214,False,EU,AM15,4,False,False,False,EU,self_serve,1
ACC000052,,ORG01420,2023-07-24,2024-12-19,active,2024-09-05,free,0.0,monthly,credit_card,True,8,5,2024-07-23,92.4038385864574,False,LATAM,AM20,6,False,False,False,LATAM,self_serve,2
ACC000053,,ORG02802,2024-07-17,2024-12-25,active,2025-06-01,free,0.0,monthly,invoice,True,5,4,2026-07-17,73.48521505219597,False,LATAM,AM9,4,False,False,False,LATAM,sales_led,3
ACC000054,,ORG01441,2024-01-18,2024-10-04,active,2024-05-05,professional,162.6756913861613,monthly,invoice,False,16,12,2026-01-17,83.66869576472057,False,LATAM,AM22,6,True,False,False,LATAM,self_serve,1
ACC000055,,ORG01455,2022-11-30,2024-10-04,active,2024-01-01,starter,56.55661963420046,monthly,credit_card,True,8,6,2023-11-30,60.13672279934718,False,EU,AM43,5,False,False,False,EU,self_serve,1
ACC000056,,ORG02560,2024-01-29,2024-11-02,churned,2024-12-04,professional,171.77140502477133,monthly,credit_card,True,12,2,2025-02-18,9.580346991946072,True,NA,AM8,1,False,True,False,NA,self_serve,3
ACC000057,,ORG01238,2023-12-29,2024-12-17,active,2025-01-02,starter,56.49809431068921,monthly,credit_card,False,9,4,2025-12-28,71.13442397981393,False,NA,AM46,1,False,True,False,NA,self_serve,3
ACC000058,7a3ba98f-9519-4569-b177-c2bdf16d1888,ORG00967,2023-03-06,2024-12-13,active,2024-03-20,free,0.0,quarterly,credit_card,False,5,2,2024-03-05,64.93806136073898,False,EU,AM39,3,False,False,False,EU,self_serve,2
ACC000059,,ORG02053,2023-07-01,2024-11-04,active,2024-06-18,enterprise,1065.5961134445074,monthly,credit_card,True,96,65,2025-06-30,91.03896765852951,False,NA,AM29,4,False,False,False,NA,self_serve,1
