account_status,subscription_tier,mrr,auto_renew_enabled,seats_purchased,seats_active,risk_flag,integration_count,api_calls_enabled,sso_enabled,white_label_enabled,internal_notes_count,days_since_creation,days_since_last_activity,days_since_contract_end,num_users,num_active_users,num_deactivated_users,num_admins,num_members,num_viewers,total_logins_30d,avg_logins_30d,total_logins_90d,avg_logins_90d,total_sessions_30d,avg_sessions_30d,total_reports_30d,avg_reports_30d,total_dashboards_created,avg_dashboards_created,total_dashboards_shared,avg_dashboards_shared,total_exports_30d,avg_exports_30d,avg_feature_usage_score,min_feature_usage_score,max_feature_usage_score,avg_session_duration_minutes,num_api_key_active,num_mobile_users,num_onboarding_completed,num_certification_earned,num_beta_features_enabled,n_distinct_browsers,n_distinct_os,n_distinct_languages,num_chrome,num_edge,num_firefox,num_safari,num_android,num_ios,num_linux,num_macos,num_windows,num_lang_de,num_lang_en,num_lang_es,num_lang_fr,total_notification_pref,avg_notification_pref,tz_nunique,tz_std,avg_profile_completeness_pct,days_since_latest_login,days_since_earliest_login,days_since_latest_user_creation,days_since_earliest_user_creation,num_tickets,num_ticket_creators,num_distinct_agents,max_priority,min_priority,avg_priority,max_sentiment,min_sentiment,avg_sentiment,num_billing,num_bug,num_cancellation,num_feature_request,num_technical,rate_billing,rate_bug,rate_cancellation,rate_feature_request,rate_technical,max_resolution_hours,avg_resolution_hours,total_resolution_hours,num_csat_responses,csat_response_rate,num_low_csat,num_high_csat,total_escalated,rate_escalated,total_sla_breach,total_cancellation_requested,rate_cancellation_requested,total_retention_offer_made,total_account_pause_requested,total_downgrade_requested,total_reopened,max_reopened,num_cancellation_reasons,num_competitor_mentions,num_chat,num_email,num_phone,num_self_service,rate_chat,rate_email,rate_phone,rate_self_service,total_interactions,avg_interactions,num_internal_cat_a,num_internal_cat_b,num_internal_cat_c,total_kb_articles,avg_kb_articles,days_since_latest_ticket_creation,days_since_earliest_ticket_creation,days_since_latest_resolution,days_since_earliest_resolution,n_tickets_30d,n_tickets_90d,health_score_band,region_APAC,region_EU,region_LATAM,region_NA,billing_cycle_annual,billing_cycle_monthly,billing_cycle_quarterly,payment_method_credit_card,payment_method_invoice,payment_method_paypal,provisioning_method_partner,provisioning_method_sales_led,provisioning_method_self_serve
0,3,182.37200007812504,1,35,8,0,4,1,0,1,0,869,12,139,10,10,0,1,8,1,169,16.9,481,48.1,140,14.0,94,9.4,43,4.3,13,1.3,64,6.4,85.18002815814609,48.8988749811334,105.94807810340455,38.44779365215583,1,2,10,1,0,4,5,4,2,3,2,3,1,1,2,1,5,3,2,3,2,11,1.1,7,7.846442930823283,79.71772019588245,2,22,797,861,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.5,1.0,2.0,0.0,0.0,1.0,0.25,0.5,0.0,0.0,0.25,41.83900058834288,32.4586731426217,129.8346925704868,1.0,0.25,1.0,0.0,2.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.25,0.25,0.0,0.5,16.0,4.0,1.0,2.0,1.0,11.0,2.75,342.0,854.0,340.0,852.0,0.0,0.0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
0,3,200.9418975082812,1,33,9,0,3,0,0,0,0,1046,11,316,2,2,0,1,1,0,39,19.5,105,52.5,46,23.0,19,9.5,6,3.0,1,0.5,8,4.0,63.675367496204615,44.58842672592889,82.76230826648033,38.58049669276279,0,0,2,1,0,1,1,2,2,0,0,0,0,2,0,0,0,1,0,1,0,1,0.5,2,5.656854249492381,66.7427780990364,2,19,1020,1046,7.0,6.0,6.0,2.0,0.0,1.0,2.0,1.0,1.4285714285714286,2.0,3.0,0.0,0.0,2.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.2857142857142857,64.52185389135578,37.49265809525325,262.4486066667727,3.0,0.42857142857142855,3.0,0.0,2.0,0.2857142857142857,7.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,36.0,5.142857142857143,2.0,2.0,3.0,7.0,1.0,243.0,1004.0,241.0,1002.0,0.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,3,195.3912294758355,1,5,3,0,5,0,0,0,2,534,23,169,5,5,0,1,3,1,31,6.2,96,19.2,29,5.8,50,10.0,15,3.0,3,0.6,36,7.2,82.2213905520006,66.73865369670422,103.65650037638704,40.9022222173243,0,2,5,1,0,3,4,2,1,0,1,3,2,0,1,1,1,0,0,3,2,6,1.2,4,8.018728078691783,56.16005310569376,3,143,446,506,5.0,5.0,5.0,3.0,2.0,2.2,2.0,1.0,1.4,1.0,1.0,0.0,2.0,1.0,0.2,0.2,0.0,0.4,0.2,37.82202499063389,32.98697923729396,164.93489618646979,0.0,0.0,0.0,0.0,2.0,0.4,5.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.4,0.2,0.4,21.0,4.2,2.0,2.0,1.0,5.0,1.0,188.0,527.0,186.0,525.0,0.0,0.0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
0,3,188.5447203462953,1,47,29,0,6,0,0,0,1,596,20,-134,2,2,0,1,1,0,24,12.0,68,34.0,22,11.0,14,7.0,6,3.0,0,0.0,7,3.5,52.94923022977829,52.792859362427755,53.10560109712882,28.109832122927216,1,1,2,0,1,2,2,1,0,1,1,0,0,1,0,1,0,0,2,0,0,3,1.5,2,9.899494936611665,73.22718162051146,14,16,537,592,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.129520977072676,20.129520977072676,20.129520977072676,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,419.0,419.0,418.0,418.0,0.0,0.0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
0,3,160.07934827564156,1,24,8,0,2,0,0,0,2,640,8,275,1,1,0,1,0,0,0,0.0,0,0.0,0,0.0,11,11.0,6,6.0,2,2.0,12,12.0,111.03944599942912,111.03944599942912,111.03944599942912,0.0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,2.0,1,0.0,99.50365877189516,134,134,614,614,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,25.121786122109388,22.6228510528123,45.2457021056246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,5.5,1.0,1.0,0.0,0.0,0.0,226.0,626.0,224.0,625.0,0.0,0.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
0,3,185.2110568019204,0,46,28,0,4,0,1,0,3,812,23,447,2,2,0,1,1,0,26,13.0,65,32.5,30,15.0,16,8.0,11,5.5,3,1.5,12,6.0,63.04401406760924,48.24003672934802,77.84799140587046,22.70190414551328,0,0,2,0,1,2,2,2,1,0,1,0,0,1,0,0,1,0,0,1,1,4,2.0,2,2.8284271247461903,64.71995144001099,9,14,767,783,3.0,3.0,3.0,2.0,1.0,1.3333333333333333,3.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,17.56419887917957,14.356854140055527,43.07056242016658,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,0.6666666666666666,29.0,9.666666666666666,0.0,2.0,1.0,8.0,2.6666666666666665,17.0,720.0,16.0,719.0,1.0,2.0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
0,1,0.0,0,9,1,0,2,1,0,0,3,888,32,158,2,2,0,1,1,0,3,1.5,9,4.5,2,1.0,21,10.5,2,1.0,0,0.0,7,3.5,35.271832061739985,33.96052959547367,36.58313452800629,20.653059684371367,1,0,2,0,0,2,2,2,0,0,1,1,0,1,0,0,1,1,0,1,0,2,1.0,2,9.192388155425117,60.5680396495869,35,64,862,878,2.0,2.0,2.0,2.0,1.0,1.5,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,20.378712363031894,16.94117523737405,33.8823504747481,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,10.0,5.0,1.0,1.0,0.0,7.0,3.5,258.0,795.0,257.0,794.0,0.0,0.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
0,3,190.33197973445075,1,7,5,0,3,0,0,0,3,919,10,189,3,3,0,1,1,1,68,22.666666666666668,209,69.66666666666667,64,21.333333333333332,23,7.666666666666667,14,4.666666666666667,3,1.0,14,4.666666666666667,73.43266867398931,61.98127939323202,86.8341864758919,18.998686865838245,0,0,3,0,1,2,2,3,0,1,2,0,0,1,2,0,0,0,1,1,1,2,0.6666666666666666,3,7.571877794400366,65.0176197285705,5,22,872,894,7.0,7.0,7.0,3.0,2.0,2.2857142857142856,2.0,1.0,1.4285714285714286,4.0,0.0,0.0,2.0,1.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.14285714285714285,38.614472099870426,31.751179250946507,222.25825475662555,5.0,0.7142857142857143,2.0,3.0,3.0,0.42857142857142855,7.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,36.0,5.142857142857143,5.0,1.0,1.0,26.0,3.7142857142857144,84.0,850.0,82.0,848.0,0.0,1.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
0,2,58.59606441982523,1,6,1,0,0,0,0,0,2,233,14,-497,1,1,0,1,0,0,10,10.0,28,28.0,9,9.0,4,4.0,5,5.0,0,0.0,1,1.0,36.34028910461868,36.34028910461868,36.34028910461868,20.624495057043973,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2.0,1,0.0,46.66157552263631,9,9,229,229,4.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.84008389016101,21.42420482881885,85.6968193152754,2.0,0.5,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.5,0.0,0.0,0.5,21.0,5.25,0.0,1.0,3.0,14.0,3.5,94.0,206.0,92.0,205.0,0.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,2,41.73109831299245,1,9,6,0,5,0,1,0,1,1032,11,667,2,2,0,1,1,0,14,7.0,40,20.0,15,7.5,21,10.5,2,1.0,0,0.0,12,6.0,68.09304689736507,60.935342764716005,75.25075103001413,8.660339924232982,0,0,2,0,0,2,2,2,1,0,0,1,0,1,0,1,0,1,1,0,0,3,1.5,2,2.1213203435596424,75.73605407497702,15,24,958,965,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.50414477499168,24.50414477499168,24.50414477499168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,4.0,837.0,837.0,835.0,835.0,0.0,0.0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
